,index,Step,Qlocal,Qglobal,corr,runningtime,curvature,nunit,maxsizeofunit,rep
0,0,1,0.6599999999999999,0.8812037975559983,0.9938506783408216,2.230309009552002,5.32496,25.0,1.0,0
1,1,2,0.4315889458641992,0.8441022261932203,0.8767277905963374,783.7551505565643,5.32496,25.0,501.0,0
2,2,MapOutlier,,,,0.0,5.32496,,,0
3,3,Avedmat,,,,0.0113213062286376,,,,0
4,0,1,0.6799999999999999,0.8883265189216193,0.9948338275437296,1.6063165664672852,5.4117,25.0,1.0,1
5,1,2,0.4329181748912083,0.8481374849524521,0.875906351349574,777.553738117218,5.4117,25.0,501.0,1
6,2,MapOutlier,,,,0.0,5.4117,,,1
7,3,Avedmat,,,,0.0113213062286376,,,,1
8,0,1,0.6699999999999999,0.8748000928492247,0.9939254452382972,1.9760749340057373,5.24558,25.0,1.0,2
9,1,2,0.4223334864914732,0.8426521094270205,0.8727533368524125,596.7452466487885,5.24558,25.0,501.0,2
10,2,MapOutlier,,,,0.0,5.24558,,,2
11,3,Avedmat,,,,0.0113213062286376,,,,2
12,0,1,0.6000000000000001,0.860226976134407,0.9935844558210112,0.4903109073638916,5.13495,25.0,1.0,3
13,1,2,0.4133201281342918,0.842692413011994,0.8757744050060652,618.4857411384583,5.13495,25.0,501.0,3
14,2,MapOutlier,,,,0.0,5.13495,,,3
15,3,Avedmat,,,,0.0113213062286376,,,,3
16,0,1,0.65,0.895290827559841,0.9952334108194992,0.7209272384643555,5.75657,25.0,1.0,4
17,1,2,0.4351599319746184,0.8475749178473077,0.878130591738167,713.5288686752319,5.75657,25.0,501.0,4
18,2,MapOutlier,,,,0.0,5.75657,,,4
19,3,Avedmat,,,,0.0113213062286376,,,,4
20,0,1,0.6799999999999999,0.8772573426932021,0.9943256224577488,0.4395031929016113,5.32819,25.0,1.0,5
21,1,2,0.4358231150114135,0.8472274299984734,0.8753558029599162,819.761757850647,5.32819,25.0,501.0,5
22,2,MapOutlier,,,,0.0,5.32819,,,5
23,3,Avedmat,,,,0.0054938793182373,,,,5
24,0,1,0.7,0.8900391538286277,0.9946657170231308,1.5044362545013428,5.76023,25.0,1.0,6
25,1,2,0.4339227462363672,0.8521194147934367,0.8796014373954179,771.3109879493713,5.76023,25.0,501.0,6
26,2,MapOutlier,,,,0.0,5.76023,,,6
27,3,Avedmat,,,,0.0054938793182373,,,,6
28,0,1,0.69,0.8821783631386013,0.993926123826392,1.0143022537231443,5.33214,25.0,1.0,7
29,1,2,0.4220681527225206,0.8445645352626695,0.8734483250961526,663.921528339386,5.33214,25.0,501.0,7
30,2,MapOutlier,,,,0.0,5.33214,,,7
31,3,Avedmat,,,,0.0054938793182373,,,,7
32,0,1,0.68,0.8720722579270835,0.9937598169922246,1.3313679695129397,5.37742,25.0,1.0,8
33,1,2,0.4401700190381242,0.8492434789644979,0.8708222649593341,683.4759697914124,5.37742,25.0,501.0,8
34,2,MapOutlier,,,,0.0,5.37742,,,8
35,3,Avedmat,,,,0.0054938793182373,,,,8
36,0,1,0.6683333333333334,0.8978920664245742,0.994055032135968,1.682044506072998,5.44667,25.0,1.0,9
37,1,2,0.4198655365103034,0.8454105932533208,0.8777555279000522,1197.9291298389437,5.44667,25.0,501.0,9
38,2,MapOutlier,,,,0.0,5.44667,,,9
39,3,Avedmat,,,,0.0054938793182373,,,,9
40,0,1,0.6799999999999999,0.8782226149760548,0.9944239844629182,0.8896973133087158,5.37636,25.0,1.0,10
41,1,2,0.4364690750513322,0.8447115959616616,0.8765985157493441,616.143381357193,5.37636,25.0,501.0,10
42,2,MapOutlier,,,,0.0,5.37636,,,10
43,3,Avedmat,,,,0.0054938793182373,,,,10
44,0,1,0.6799999999999999,0.8895130794483334,0.9950038809954912,0.9841184616088868,5.51879,25.0,1.0,11
45,1,2,0.4302012066357054,0.8454534358971787,0.8782418524015211,1152.733839511871,5.51879,25.0,501.0,11
46,2,MapOutlier,,,,0.0,5.51879,,,11
47,3,Avedmat,,,,0.0054938793182373,,,,11
48,0,1,0.6491666666666667,0.8889720930235901,0.99376069064507,1.0440244674682615,5.29016,25.0,1.0,12
49,1,2,0.4183341394829516,0.844927191882129,0.8770596083448801,680.5246560573578,5.29016,25.0,501.0,12
50,2,MapOutlier,,,,0.0,5.29016,,,12
51,3,Avedmat,,,,0.0054938793182373,,,,12
52,0,1,0.5866666666666668,0.8871888574883227,0.9945907031037392,1.6755530834197998,5.81228,25.0,1.0,13
53,1,2,0.4249791901227229,0.8496822353698978,0.8843390157486867,848.7416656017303,5.81228,25.0,501.0,13
54,2,MapOutlier,,,,0.0,5.81228,,,13
55,3,Avedmat,,,,0.0054938793182373,,,,13
56,0,1,0.6599999999999999,0.8659638013756333,0.9929194759806658,0.6640074253082275,5.23899,25.0,1.0,14
57,1,2,0.426399883284128,0.8433256703766384,0.8777182540329923,860.5240297317505,5.23899,25.0,501.0,14
