,index,Step,Qlocal,Qglobal,corr,runningtime,curvature,nunit,maxsizeofunit,rep
0,0,1,0.3648759324425414,0.8036492307691468,0.8983345465340841,173.44084095954895,8.12975,150.0,1.0,0
1,1,2,0.3779461419934128,0.8439059584307324,0.8416740448838,2.8687496185302734,8.12975,150.0,47.0,0
2,2,3,0.3719681290189526,0.8078309591414738,0.8619645610857997,2.5237011909484863,8.12975,300.0,23.0,0
3,3,4,0.4454492404334048,0.8408348997186578,0.8714077634998997,118.765647649765,8.12975,500.0,97.0,0
4,4,MapOutlier,,,,0.0,8.12975,,,0
5,5,Avedmat,,,,0.1538763046264648,,,,0
6,0,1,0.3781093232427353,0.8120153343483897,0.8984235499258091,137.9143772125244,7.75726,150.0,1.0,1
7,1,2,0.2742904954291812,0.7706261509161824,0.8422059540414492,2.4531121253967285,7.75726,150.0,47.0,1
8,2,3,0.3260489237236641,0.7614599424134323,0.8446855383702039,2.262535572052002,7.75726,300.0,23.0,1
9,3,4,0.4968262865682833,0.8482510441375571,0.785776995943121,53.39100408554077,7.75726,500.0,97.0,1
10,4,MapOutlier,,,,0.0,7.75726,,,1
11,5,Avedmat,,,,0.1538763046264648,,,,1
12,0,1,0.3561706957978585,0.8031547771429364,0.8941227044302194,221.0933861732483,8.19128,150.0,1.0,2
13,1,2,0.4327989163251866,0.8811035990133647,0.8410675295807014,1.9913816452026367,8.19128,150.0,47.0,2
14,2,3,0.371020546472696,0.8106903900138024,0.861969678397996,3.004566431045532,8.19128,300.0,23.0,2
15,3,4,0.4325781501480144,0.8382733383519658,0.8540345163968858,121.18231558799744,8.19128,500.0,97.0,2
16,4,MapOutlier,,,,0.0,8.19128,,,2
17,5,Avedmat,,,,0.1538763046264648,,,,2
18,0,1,0.3833786328970458,0.8099894643977903,0.9013191124767176,165.57905411720276,7.99309,150.0,1.0,3
19,1,2,0.2924278420606093,0.7919175537421242,0.8577851798334444,2.6182820796966553,7.99309,150.0,47.0,3
20,2,3,0.3757594205405166,0.8269032806484254,0.8698866162550881,2.384648561477661,7.99309,300.0,23.0,3
21,3,4,0.4126168581378084,0.8266904253422356,0.8349645622213155,53.77419352531433,7.99309,500.0,97.0,3
22,4,MapOutlier,,,,0.0,7.99309,,,3
23,5,Avedmat,,,,0.1538763046264648,,,,3
24,0,1,0.3894672398751346,0.8114052107891188,0.8968470201602242,125.5144226551056,7.8379,150.0,1.0,4
25,1,2,0.2812118466611115,0.7800789444059718,0.8396453477916163,1.7901318073272705,7.8379,150.0,47.0,4
26,2,3,0.4009894400421311,0.8218530085566136,0.8685455192234633,2.279759407043457,7.8379,300.0,23.0,4
27,3,4,0.4415439822027145,0.8433506626156025,0.8653270595202566,88.34517288208008,7.8379,500.0,97.0,4
28,4,MapOutlier,,,,0.0,7.8379,,,4
29,5,Avedmat,,,,0.1538763046264648,,,,4
30,0,1,0.3647172707421607,0.8020451789181404,0.8901565862217048,98.01820015907288,7.80128,150.0,1.0,5
31,1,2,0.4411342125670892,0.8862268017052282,0.837677095257467,1.7897751331329346,7.80128,150.0,47.0,5
32,2,3,0.3422072192398518,0.790898089425881,0.850399441563602,1.94815731048584,7.80128,300.0,23.0,5
33,3,4,0.3705381049613995,0.7993940084488765,0.857769246931862,112.5847704410553,7.80128,500.0,97.0,5
34,4,MapOutlier,,,,0.0,7.80128,,,5
35,5,Avedmat,,,,0.1764791011810302,,,,5
36,0,1,0.3957905510797538,0.8135171913654656,0.8934684473149421,208.20114541053772,8.01011,150.0,1.0,6
37,1,2,0.267752032760261,0.7697587925583426,0.8382618527776826,2.1481499671936035,8.01011,150.0,47.0,6
38,2,3,0.3663602555943113,0.8105264892645598,0.8644650651714234,2.3019721508026123,8.01011,300.0,23.0,6
39,3,4,0.4211960861654489,0.8351276044647147,0.8692274328808868,115.6627917289734,8.01011,500.0,97.0,6
40,4,MapOutlier,,,,0.0,8.01011,,,6
41,5,Avedmat,,,,0.1764791011810302,,,,6
42,0,1,0.349329476198549,0.7996353187314641,0.8819997028164486,112.37589383125304,7.96889,150.0,1.0,7
43,1,2,0.4291319181922226,0.8716632870684645,0.8146219697158176,1.9605724811553955,7.96889,150.0,47.0,7
44,2,3,0.3871496783884294,0.8072496972935046,0.8465039563651439,2.5574629306793213,7.96889,300.0,23.0,7
45,3,4,0.4497954169302778,0.8463518861722991,0.8581289047312297,94.68934965133668,7.96889,500.0,97.0,7
46,4,MapOutlier,,,,0.0,7.96889,,,7
47,5,Avedmat,,,,0.1764791011810302,,,,7
48,0,1,0.3653867217761628,0.8026946834136505,0.8833931710079901,109.40762543678284,7.56257,150.0,1.0,8
49,1,2,0.3696252011823433,0.8295434326729503,0.8267552030957084,2.085489273071289,7.56257,150.0,47.0,8
50,2,3,0.3876147549820407,0.8268916964731973,0.8326785679633747,1.7982213497161863,7.56257,300.0,23.0,8
51,3,4,0.4497394242752965,0.8209807234240055,0.7749989436708213,71.6813793182373,7.56257,500.0,97.0,8
52,4,MapOutlier,,,,0.0,7.56257,,,8
53,5,Avedmat,,,,0.1764791011810302,,,,8
54,0,1,0.3776133959520367,0.8086260202094051,0.8943026325456065,109.84318447113036,7.78554,150.0,1.0,9
55,1,2,0.3887403480226049,0.8475908289658365,0.8362629510875614,2.3985025882720947,7.78554,150.0,47.0,9
56,2,3,0.3919408770086113,0.8183617604028367,0.866158514907082,2.816319465637207,7.78554,300.0,23.0,9
57,3,4,0.441262532485788,0.8462688777076888,0.8752034868711003,95.52091217041016,7.78554,500.0,97.0,9
58,4,MapOutlier,,,,0.0,7.78554,,,9
59,5,Avedmat,,,,0.1764791011810302,,,,9
60,0,1,0.3736727041176344,0.8068923252059026,0.8848308449731929,136.19824028015137,7.78908,150.0,1.0,10
61,1,2,0.3246038338570456,0.8046648236709082,0.8309917037756436,2.7661266326904297,7.78908,150.0,47.0,10
62,2,3,0.3704002305967514,0.8161998755089538,0.8400640153554115,1.9956741333007812,7.78908,300.0,23.0,10
63,3,4,0.4267364545388474,0.8138318735994343,0.7686855991731831,51.932090759277344,7.78908,500.0,97.0,10
64,4,MapOutlier,,,,0.0,7.78908,,,10
65,5,Avedmat,,,,0.1764791011810302,,,,10
66,0,1,0.3763990061637527,0.806230245875852,0.8956856751887781,151.2058072090149,8.11606,150.0,1.0,11
67,1,2,0.3381721686873299,0.8109456349469613,0.8465965979758392,2.0622751712799072,8.11606,150.0,47.0,11
68,2,3,0.3659724301612521,0.7862621916533293,0.8503023131327953,2.4070262908935547,8.11606,300.0,23.0,11
69,3,4,0.4931250475724733,0.8483607230589351,0.8009717246782427,79.6181526184082,8.11606,500.0,97.0,11
70,4,MapOutlier,,,,0.0,8.11606,,,11
71,5,Avedmat,,,,0.1764791011810302,,,,11
72,0,1,0.3954603554408582,0.8079963323850499,0.8870624660461617,169.0951795578003,7.68881,150.0,1.0,12
73,1,2,0.4405794200463439,0.8856430611784687,0.8379008791463926,1.9860777854919431,7.68881,150.0,47.0,12
74,2,3,0.3652489114876949,0.8030988498746537,0.8580524648685984,2.3103373050689697,7.68881,300.0,23.0,12
75,3,4,0.4540368785033428,0.8463683590761178,0.853454262307273,100.1843318939209,7.68881,500.0,97.0,12
76,4,MapOutlier,,,,0.0,7.68881,,,12
77,5,Avedmat,,,,0.1764791011810302,,,,12
78,0,1,0.357881214769063,0.8004904928186016,0.8835915132790922,102.788419008255,7.45654,150.0,1.0,13
79,1,2,0.4381497595370542,0.880496655918737,0.816035746597089,1.7521262168884275,7.45654,150.0,47.0,13
80,2,3,0.3537907124454618,0.7957014600325397,0.8531370215216076,2.05525541305542,7.45654,300.0,23.0,13
81,3,4,0.4211840928360955,0.8331907235775334,0.8724509728468641,99.46308279037476,7.45654,500.0,97.0,13
82,4,MapOutlier,,,,0.0,7.45654,,,13
83,5,Avedmat,,,,0.1764791011810302,,,,13
