,index,Step,Qlocal,Qglobal,corr,runningtime,curvature,nunit,maxsizeofunit,rep
0,0,1,0.6970238095238095,0.9476754011046247,0.9899171913244078,0.8511099815368652,4.42259,35.0,1.0,0
1,1,2,0.5390072611429401,0.9022224976955977,0.9269691250018329,153.11573123931885,4.42259,35.0,201.0,0
2,2,MapOutlier,0.5249005324895522,0.8981682040353803,0.9314070013822723,5.557016372680664,4.42259,,,0
3,3,Avedmat,,,,0.0060710906982421875,,,,0
4,0,1,0.6746031746031745,0.9458202611975224,0.9896255875045972,0.9009079933166504,4.45406,35.0,1.0,1
5,1,2,0.528041967486907,0.8967607768091791,0.9179844871626517,142.38852095603943,4.45406,35.0,201.0,1
6,2,MapOutlier,0.5146645082650847,0.8928638644324672,0.9267760062841011,9.073859691619873,4.45406,,,1
7,3,Avedmat,,,,0.0060710906982421875,,,,1
8,0,1,0.765,0.9608159851512432,0.9909689749779961,1.398376226425171,4.4866,35.0,1.0,2
9,1,2,0.5399743662748437,0.9040987513029483,0.930165110439111,195.06095433235168,4.4866,35.0,201.0,2
10,2,MapOutlier,0.5311494622074308,0.9000454811141252,0.9308688569798929,8.663033246994019,4.4866,,,2
11,3,Avedmat,,,,0.0060710906982421875,,,,2
12,0,1,0.7527777777777778,0.9533767321626341,0.9885772020601015,0.5448870658874512,4.48918,35.0,1.0,3
13,1,2,0.5417994101384717,0.9019710925050239,0.9290425864854185,209.56491565704346,4.48918,35.0,201.0,3
14,2,MapOutlier,0.5278914512857078,0.8972897417261256,0.9305145025883952,8.425731182098389,4.48918,,,3
15,3,Avedmat,,,,0.0060710906982421875,,,,3
16,0,1,0.7285714285714285,0.9513324035460359,0.9892130778514188,3.014238119125366,4.56432,35.0,1.0,4
17,1,2,0.5362169508922973,0.9042453802654845,0.9300711656694487,192.33871173858643,4.56432,35.0,201.0,4
18,2,MapOutlier,0.5250177469817585,0.8996082788849546,0.9236948492931025,6.453747034072876,4.56432,,,4
19,3,Avedmat,,,,0.0060710906982421875,,,,4
20,0,1,0.7130952380952381,0.9487117142811882,0.9900924654504505,0.8344993591308594,4.40254,35.0,1.0,5
21,1,2,0.5335941991229783,0.9016402606608683,0.926082145185634,163.17591547966003,4.40254,35.0,201.0,5
22,2,MapOutlier,0.5222959533519674,0.8971527197935283,0.9211373640661624,8.304595470428467,4.40254,,,5
23,3,Avedmat,,,,0.0060710906982421875,,,,5
24,0,1,0.7576190476190476,0.9610749047909254,0.9918489297728502,0.6528763771057129,4.408,35.0,1.0,6
25,1,2,0.5291620596047941,0.9015963581854178,0.925238077444732,202.62449312210083,4.408,35.0,201.0,6
26,2,MapOutlier,0.522463737888214,0.8989547787980289,0.9306749602517009,8.05321192741394,4.408,,,6
27,3,Avedmat,,,,0.0060710906982421875,,,,6
28,0,1,0.7761111111111112,0.9586748630259936,0.9913809303749577,0.8382818698883057,4.41217,35.0,1.0,7
29,1,2,0.5338725425186426,0.9008971072076528,0.926528891439491,159.03427600860596,4.41217,35.0,201.0,7
30,2,MapOutlier,0.5224271942416759,0.8969643820898305,0.9289636837615725,8.865800142288208,4.41217,,,7
31,3,Avedmat,,,,0.0060710906982421875,,,,7
32,0,1,0.7255952380952381,0.9513059160293434,0.991230510865311,0.5374948978424072,4.34622,35.0,1.0,8
33,1,2,0.5323648527103392,0.9010815634410093,0.9234995665017262,230.55787301063538,4.34622,35.0,201.0,8
34,2,MapOutlier,0.5214583933628336,0.8978565199135569,0.928312206195097,9.387310981750488,4.34622,,,8
35,3,Avedmat,,,,0.0060710906982421875,,,,8
36,0,1,0.7603968253968255,0.957786439325622,0.9898940552326668,0.8216443061828613,4.44153,35.0,1.0,9
37,1,2,0.5313924337950615,0.8984717611785257,0.9224674026375099,220.8518249988556,4.44153,35.0,201.0,9
38,2,MapOutlier,0.5218198137066671,0.8953895201068212,0.9291341494533869,12.40747594833374,4.44153,,,9
39,3,Avedmat,,,,0.0060710906982421875,,,,9
40,0,1,0.7823809523809525,0.9566916196312952,0.9904346773998501,0.6688179969787598,4.37362,35.0,1.0,10
41,1,2,0.5252681094363659,0.8982488826330407,0.9219460907020013,161.2942008972168,4.37362,35.0,201.0,10
42,2,MapOutlier,0.5217094089210407,0.8960811319893008,0.928189695413784,10.002469062805176,4.37362,,,10
43,3,Avedmat,,,,0.0060710906982421875,,,,10
44,0,1,0.7175238095238095,0.9554916334074802,0.9886782376230542,1.1600487232208252,4.38981,35.0,1.0,11
45,1,2,0.533272372230345,0.9018668899311363,0.9260180153136588,150.62354636192322,4.38981,35.0,201.0,11
46,2,MapOutlier,0.5217649768985584,0.8981287936508584,0.9310829005412848,8.421921491622925,4.38981,,,11
47,3,Avedmat,,,,0.0060710906982421875,,,,11
48,0,1,0.7742857142857144,0.9593310059205347,0.9908380772782871,0.4228248596191406,4.3119,35.0,1.0,12
49,1,2,0.5285058080236226,0.8990115588539545,0.9213375683636483,147.95874643325806,4.3119,35.0,201.0,12
50,2,MapOutlier,0.5187376448341827,0.8958563272455823,0.9272418738546525,7.878340005874634,4.3119,,,12
51,3,Avedmat,,,,0.0060710906982421875,,,,12
52,0,1,0.7029761904761904,0.949689058105147,0.9896543058834122,0.5703954696655273,4.34722,35.0,1.0,13
53,1,2,0.5411059187728331,0.902315125297056,0.9254093252391429,143.14941453933716,4.34722,35.0,201.0,13
54,2,MapOutlier,0.5314198081834545,0.8980931250963379,0.9291215856108758,7.607021808624268,4.34722,,,13
55,3,Avedmat,,,,0.0060710906982421875,,,,13
56,0,1,0.7303571428571428,0.9531018148986429,0.990605103528949,0.41202449798583984,4.33704,35.0,1.0,14
57,1,2,0.5225073156394349,0.8904591744328442,0.9127076696277563,94.68186664581299,4.33704,35.0,201.0,14
58,2,MapOutlier,0.5077259605671165,0.8866891699147933,0.9284121045428401,4.730177640914917,4.33704,,,14
59,3,Avedmat,,,,0.0060710906982421875,,,,14
60,0,1,0.7220238095238095,0.9509949530944583,0.9897866467995627,0.43962645530700684,4.32206,35.0,1.0,15
61,1,2,0.523813333353869,0.8935681661376674,0.913880030390189,123.94208478927612,4.32206,35.0,201.0,15
62,2,MapOutlier,0.5164937714065082,0.8906084076471561,0.9259518199482913,6.560603857040405,4.32206,,,15
63,3,Avedmat,,,,0.0060710906982421875,,,,15
64,0,1,0.7362698412698414,0.956791203006399,0.989142634377081,0.281872034072876,4.32168,35.0,1.0,16
65,1,2,0.5299564908573179,0.8993886211923825,0.9224997772421091,155.68482327461243,4.32168,35.0,201.0,16
66,2,MapOutlier,0.5182913701120926,0.8960696521666262,0.9214978004258776,5.8747642040252686,4.32168,,,16
67,3,Avedmat,,,,0.0060710906982421875,,,,16
68,0,1,0.6922619047619047,0.9524321244635544,0.9902018126713231,0.5628035068511963,4.4398,35.0,1.0,17
69,1,2,0.532162951704497,0.902658650943816,0.9262326807650574,123.75923132896423,4.4398,35.0,201.0,17
70,2,MapOutlier,0.5222139758815076,0.8990313401143648,0.9309554048061163,5.797514915466309,4.4398,,,17
71,3,Avedmat,,,,0.0060710906982421875,,,,17
72,0,1,0.7226190476190476,0.9475077528748267,0.9892834304924607,0.3847525119781494,4.26436,35.0,1.0,18
73,1,2,0.5351087095557685,0.8988696234271707,0.9200193620427511,96.58620047569275,4.26436,35.0,201.0,18
74,2,MapOutlier,0.5248357752001763,0.8942012772798872,0.9224606329491789,4.819967269897461,4.26436,,,18
75,3,Avedmat,,,,0.0060710906982421875,,,,18
76,0,1,0.7645238095238094,0.9574706589561757,0.9902849599408818,0.45133280754089355,4.47402,35.0,1.0,19
77,1,2,0.5351747551835532,0.9005273109179031,0.921616117381145,108.88166642189026,4.47402,35.0,201.0,19
78,2,MapOutlier,0.5181804769466406,0.8971416185108652,0.9345990854335524,4.809733867645264,4.47402,,,19
79,3,Avedmat,,,,0.0060710906982421875,,,,19
