,names
0,bengal_tiger.n.01
1,tiger.n.02
2,carnivore.n.01
3,placental.n.01
4,anthropoid_ape.n.01
5,ape.n.01
6,primate.n.02
7,appenzeller.n.01
8,sennenhunde.n.01
9,chiacoan_peccary.n.01
10,peccary.n.01
11,english_springer.n.01
12,springer_spaniel.n.01
13,canine.n.02
14,welsh.n.03
15,cattle.n.01
16,even-toed_ungulate.n.01
17,ungulate.n.01
18,housedog.n.01
19,watchdog.n.02
20,edentate.n.01
21,opossum_rat.n.01
22,marsupial.n.01
23,metatherian.n.01
24,mammal.n.01
25,coach_horse.n.01
26,draft_horse.n.01
27,mastodon.n.01
28,proboscidean.n.01
29,mandrill.n.01
30,baboon.n.01
31,whippet.n.01
32,greyhound.n.01
33,dog.n.01
34,kid.n.05
35,goat.n.01
36,armadillo.n.01
37,baleen_whale.n.01
38,whale.n.02
39,cetacean.n.01
40,aquatic_mammal.n.01
41,howler_monkey.n.01
42,new_world_monkey.n.01
43,monkey.n.01
44,south_american_sea_lion.n.01
45,sea_lion.n.01
46,jack.n.12
47,ass.n.03
48,equine.n.01
49,odd-toed_ungulate.n.01
50,yorkshire_terrier.n.01
51,terrier.n.01
52,alaska_fur_seal.n.01
53,fur_seal.n.01
54,pinniped_mammal.n.01
55,otter.n.02
56,musteline_mammal.n.01
57,guereza.n.01
58,colobus.n.01
59,kudu.n.01
60,antelope.n.01
61,lincoln.n.03
62,domestic_sheep.n.01
63,fur_seal.n.02
64,eared_seal.n.01
65,leopardess.n.01
66,leopard.n.02
67,tennessee_walker.n.01
68,saddle_horse.n.01
69,toothed_whale.n.01
70,taguan.n.01
71,asiatic_flying_squirrel.n.01
72,squirrel.n.01
73,unguiculate.n.01
74,mountain_goat.n.01
75,goat_antelope.n.01
76,bovid.n.01
77,ruminant.n.01
78,river_otter.n.01
79,workhorse.n.02
80,horse.n.01
81,feline.n.01
82,deer.n.01
83,binturong.n.01
84,civet.n.01
85,viverrine.n.01
86,lesser_panda.n.01
87,procyonid.n.01
88,pygmy_chimpanzee.n.01
89,chimpanzee.n.01
90,wheel_horse.n.01
91,tarsius_glis.n.01
92,tarsier.n.01
93,talapoin.n.01
94,guenon.n.01
95,thomson's_gazelle.n.01
96,gazelle.n.01
97,seal.n.09
98,griffon.n.03
99,sporting_dog.n.01
100,standard_schnauzer.n.01
101,schnauzer.n.01
102,central_chimpanzee.n.01
103,great_ape.n.01
104,gemsbok.n.01
105,oryx.n.01
106,virginia_deer.n.01
107,post_horse.n.01
108,labrador_retriever.n.01
109,retriever.n.01
110,hunting_dog.n.01
111,bunny.n.02
112,rabbit.n.01
113,leporid.n.01
114,dall_sheep.n.01
115,wild_sheep.n.01
116,pacer.n.02
117,irish_wolfhound.n.01
118,wolfhound.n.01
119,ord_kangaroo_rat.n.01
120,kangaroo_rat.n.01
121,western_chimpanzee.n.01
122,brown_swiss.n.01
123,dairy_cattle.n.01
124,yearling.n.03
125,old_world_monkey.n.01
126,wild_horse.n.01
127,western_grey_squirrel.n.01
128,tree_squirrel.n.01
129,cynocephalus_variegatus.n.01
130,flying_lemur.n.01
131,mexican_pocket_mouse.n.01
132,pocket_mouse.n.01
133,rat.n.01
134,rodent.n.01
135,greater_kudu.n.01
136,snake_muishond.n.01
137,muishond.n.01
138,wolf_pup.n.01
139,wolf.n.01
140,pika.n.01
141,lagomorph.n.01
142,maltese_dog.n.01
143,toy_dog.n.01
144,peba.n.01
145,american_foxhound.n.01
146,foxhound.n.01
147,hog_badger.n.01
148,badger.n.02
149,cocker_spaniel.n.01
150,spaniel.n.01
151,australopithecus_africanus.n.01
152,australopithecine.n.01
153,doberman.n.01
154,pinscher.n.01
155,bezoar_goat.n.01
156,wild_goat.n.01
157,liver_chestnut.n.01
158,bullock.n.01
159,bull.n.01
160,bluetick.n.01
161,hound.n.01
162,european_hare.n.01
