,labels
0,HSPC-1
1,HSPC-1
2,HSPC-1
3,HSPC-1
4,HSPC-1
5,HSPC-1
6,HSPC-1
7,HSPC-1
8,HSPC-1
9,HSPC-1
10,HSPC-1
11,HSPC-1
12,HSPC-1
13,HSPC-1
14,HSPC-1
15,HSPC-1
16,HSPC-1
17,HSPC-1
18,HSPC-1
19,HSPC-1
20,HSPC-1
21,HSPC-1
22,HSPC-1
23,HSPC-1
24,HSPC-1
25,HSPC-1
26,HSPC-1
27,HSPC-1
28,HSPC-1
29,HSPC-1
30,HSPC-1
31,HSPC-1
32,HSPC-1
33,HSPC-1
34,HSPC-1
35,HSPC-1
36,HSPC-1
37,HSPC-1
38,HSPC-1
39,HSPC-1
40,HSPC-1
41,HSPC-1
42,HSPC-1
43,HSPC-1
44,HSPC-1
45,HSPC-1
46,HSPC-1
47,HSPC-1
48,HSPC-1
49,HSPC-1
50,HSPC-1
51,HSPC-1
52,HSPC-1
53,HSPC-1
54,HSPC-1
55,HSPC-1
56,HSPC-1
57,HSPC-1
58,HSPC-1
59,HSPC-2
60,HSPC-2
61,HSPC-2
62,HSPC-2
63,HSPC-2
64,HSPC-2
65,HSPC-2
66,HSPC-2
67,HSPC-2
68,HSPC-2
69,HSPC-2
70,HSPC-2
71,HSPC-2
72,HSPC-2
73,HSPC-2
74,HSPC-2
75,HSPC-2
76,HSPC-2
77,HSPC-2
78,HSPC-2
79,HSPC-2
80,HSPC-2
81,HSPC-2
82,HSPC-2
83,HSPC-2
84,HSPC-2
85,HSPC-2
86,HSPC-2
87,HSPC-2
88,HSPC-2
89,HSPC-2
90,HSPC-2
91,HSPC-2
92,HSPC-2
93,HSPC-2
94,HSPC-2
95,HSPC-2
96,HSPC-2
97,HSPC-2
98,HSPC-2
99,HSPC-2
100,HSPC-2
101,HSPC-2
102,HSPC-2
103,HSPC-2
104,HSPC-2
105,HSPC-2
106,HSPC-2
107,HSPC-2
108,HSPC-2
109,HSPC-2
110,HSPC-2
111,HSPC-2
112,HSPC-2
113,HSPC-2
114,HSPC-2
115,HSPC-2
116,HSPC-2
117,HSPC-2
118,HSPC-2
119,HSPC-2
120,HSPC-2
121,HSPC-2
122,Meg
123,Meg
124,Meg
125,Meg
126,Meg
127,Meg
128,Meg
129,Meg
130,Meg
131,Meg
132,Meg
133,Meg
134,Meg
135,Meg
136,Meg
137,Meg
138,Meg
139,Meg
140,Eryth
141,Eryth
142,Eryth
143,Eryth
144,Eryth
145,Eryth
146,Eryth
147,Eryth
148,Eryth
149,Eryth
150,Eryth
151,Eryth
152,Eryth
153,Multi-Lin
154,Multi-Lin
155,Multi-Lin
156,Multi-Lin
157,Multi-Lin
158,Multi-Lin
159,Multi-Lin
160,Multi-Lin
161,Multi-Lin
162,Multi-Lin
163,Multi-Lin
164,Multi-Lin
165,Multi-Lin
166,Multi-Lin
167,Multi-Lin
168,Multi-Lin
169,Multi-Lin
170,Multi-Lin
171,Multi-Lin
172,Multi-Lin
173,Multi-Lin
174,Multi-Lin
175,Multi-Lin
176,Multi-Lin
177,Multi-Lin
178,Multi-Lin
179,Multi-Lin
180,Multi-Lin
181,MDP
182,MDP
183,MDP
184,MDP
185,MDP
186,MDP
187,MDP
188,MDP
189,MDP
190,MDP
191,MDP
192,MDP
193,MDP
194,MDP
195,MDP
196,MDP
197,MDP
198,MDP
199,MDP
200,MDP
201,MDP
202,MDP
203,MDP
204,MDP
205,MDP
206,MDP
207,MDP
208,MDP
209,MDP
210,MDP
211,MDP
212,MDP
213,MDP
214,Mono
215,Mono
216,Mono
217,Mono
218,Mono
219,Mono
220,Mono
221,Mono
222,Mono
223,Mono
224,Mono
225,Mono
226,Mono
227,Mono
228,Mono
229,Mono
230,Mono
231,Mono
232,Mono
233,Mono
234,Mono
235,Mono
236,Mono
237,Mono
238,Mono
239,Mono
240,Mono
241,Mono
242,Mono
243,Mono
244,Mono
245,Mono
246,Mono
247,Mono
248,Mono
249,Mono
250,Mono
251,Mono
252,Mono
253,Mono
254,Mono
255,Mono
256,Mono
257,Mono
258,Mono
259,Mono
260,Mono
261,Mono
262,Mono
263,Mono
264,Mono
265,Mono
266,Mono
267,Mono
268,Mono
269,Mono
270,Mono
271,Mono
272,Mono
273,Mono
274,Mono
275,Mono
276,Mono
277,Mono
278,Mono
279,Mono
280,Mono
281,Mono
282,Mono
283,Mono
284,Mono
285,Mono
286,Mono
287,Mono
288,Mono
289,Mono
290,Mono
291,Mono
292,Mono
293,Mono
294,Mono
295,Mono
296,Mono
297,Mono
298,Mono
299,Mono
300,Mono
301,Mono
302,Mono
303,Mono
304,Mono
305,Mono
306,Mono
307,Mono
308,Mono
309,Gran
310,Gran
311,Gran
312,Gran
313,Gran
314,Gran
315,Gran
316,Gran
317,Gran
318,Gran
319,Gran
320,Gran
321,Gran
322,Gran
323,Gran
324,Gran
325,Gran
326,Gran
327,Gran
328,Gran
329,Gran
330,Gran
331,Gran
332,Gran
333,Gran
334,Gran
335,Gran
336,Gran
337,Gran
338,Gran
339,Gran
340,Gran
341,Gran
342,Gran
343,Gran
344,Gran
345,Gran
346,Gran
347,Gran
348,Gran
349,Gran
350,Gran
351,Gran
352,Gran
353,Gran
354,Gran
355,Gran
356,Gran
357,Gran
358,Gran
359,Gran
360,Gran
361,Gran
362,Gran
363,Gran
364,Gran
365,Gran
366,Gran
367,Gran
368,Myelocyte
369,Myelocyte
370,Myelocyte
371,Myelocyte
372,Myelocyte
373,Myelocyte
374,Myelocyte
375,Myelocyte
376,Myelocyte
377,Myelocyte
378,Myelocyte
379,Myelocyte
380,Myelocyte
381,Myelocyte
