,paul15_clusters
0,7MEP
1,15Mo
2,3Ery
3,15Mo
4,3Ery
5,15Mo
6,4Ery
7,2Ery
8,3Ery
9,2Ery
10,2Ery
11,17Neu
12,14Mo
13,13Baso
14,3Ery
15,7MEP
16,3Ery
17,3Ery
18,2Ery
19,8Mk
20,3Ery
21,9GMP
22,8Mk
23,10GMP
24,15Mo
25,16Neu
26,4Ery
27,13Baso
28,17Neu
29,3Ery
30,2Ery
31,3Ery
32,5Ery
33,3Ery
34,13Baso
35,1Ery
36,3Ery
37,6Ery
38,15Mo
39,3Ery
40,3Ery
41,14Mo
42,19Lymph
43,12Baso
44,3Ery
45,14Mo
46,6Ery
47,4Ery
48,7MEP
49,2Ery
50,13Baso
51,14Mo
52,6Ery
53,18Eos
54,4Ery
55,3Ery
56,3Ery
57,14Mo
58,2Ery
59,13Baso
60,2Ery
61,13Baso
62,13Baso
63,14Mo
64,7MEP
65,7MEP
66,7MEP
67,10GMP
68,12Baso
69,6Ery
70,5Ery
71,5Ery
72,14Mo
73,4Ery
74,16Neu
75,16Neu
76,3Ery
77,2Ery
78,6Ery
79,13Baso
80,13Baso
81,10GMP
82,14Mo
83,5Ery
84,7MEP
85,7MEP
86,5Ery
87,6Ery
88,2Ery
89,10GMP
90,10GMP
91,2Ery
92,7MEP
93,6Ery
94,7MEP
95,14Mo
96,16Neu
97,10GMP
98,3Ery
99,3Ery
100,13Baso
101,1Ery
102,14Mo
103,15Mo
104,2Ery
105,5Ery
106,2Ery
107,5Ery
108,3Ery
109,14Mo
110,10GMP
111,2Ery
112,7MEP
113,4Ery
114,9GMP
115,7MEP
116,3Ery
117,16Neu
118,11DC
119,10GMP
120,6Ery
121,3Ery
122,2Ery
123,5Ery
124,2Ery
125,2Ery
126,5Ery
127,14Mo
128,5Ery
129,14Mo
130,3Ery
131,2Ery
132,16Neu
133,2Ery
134,13Baso
135,16Neu
136,2Ery
137,3Ery
138,3Ery
139,14Mo
140,5Ery
141,16Neu
142,14Mo
143,14Mo
144,13Baso
145,3Ery
146,14Mo
147,7MEP
148,14Mo
149,10GMP
150,2Ery
151,14Mo
152,15Mo
153,14Mo
154,16Neu
155,10GMP
156,7MEP
157,5Ery
158,16Neu
159,2Ery
160,16Neu
161,14Mo
162,10GMP
163,16Neu
164,8Mk
165,7MEP
166,14Mo
167,7MEP
168,2Ery
169,14Mo
170,14Mo
171,4Ery
172,5Ery
173,14Mo
174,14Mo
175,10GMP
176,6Ery
177,5Ery
178,14Mo
179,3Ery
180,5Ery
181,15Mo
182,5Ery
183,14Mo
184,16Neu
185,8Mk
186,3Ery
187,14Mo
188,12Baso
189,14Mo
190,3Ery
191,5Ery
192,16Neu
193,15Mo
194,13Baso
195,5Ery
196,3Ery
197,13Baso
198,12Baso
199,8Mk
200,7MEP
201,6Ery
202,2Ery
203,3Ery
204,3Ery
205,15Mo
206,3Ery
207,3Ery
208,3Ery
209,8Mk
210,2Ery
211,2Ery
212,14Mo
213,3Ery
214,15Mo
215,14Mo
216,7MEP
217,15Mo
218,3Ery
219,3Ery
220,13Baso
221,15Mo
222,3Ery
223,15Mo
224,13Baso
225,3Ery
226,15Mo
227,15Mo
228,13Baso
229,19Lymph
230,4Ery
231,3Ery
232,14Mo
233,4Ery
234,6Ery
235,16Neu
236,14Mo
237,3Ery
238,17Neu
239,15Mo
240,4Ery
241,3Ery
242,6Ery
243,14Mo
244,3Ery
245,16Neu
246,14Mo
247,15Mo
248,7MEP
249,13Baso
250,15Mo
251,14Mo
252,3Ery
253,2Ery
254,2Ery
255,14Mo
256,2Ery
257,13Baso
258,2Ery
259,3Ery
260,13Baso
261,12Baso
262,2Ery
263,10GMP
264,5Ery
265,13Baso
266,3Ery
267,9GMP
268,15Mo
269,2Ery
270,10GMP
271,5Ery
272,5Ery
273,2Ery
274,14Mo
275,13Baso
276,2Ery
277,14Mo
278,16Neu
279,12Baso
280,14Mo
281,14Mo
282,3Ery
283,14Mo
284,13Baso
285,12Baso
286,5Ery
287,10GMP
288,14Mo
289,4Ery
290,15Mo
291,11DC
292,3Ery
293,4Ery
294,4Ery
295,4Ery
296,4Ery
297,5Ery
298,1Ery
299,16Neu
300,14Mo
301,2Ery
302,5Ery
303,15Mo
304,5Ery
305,2Ery
306,5Ery
307,1Ery
308,7MEP
309,2Ery
310,14Mo
311,10GMP
312,2Ery
313,14Mo
314,6Ery
315,9GMP
316,3Ery
317,2Ery
318,3Ery
319,12Baso
320,2Ery
321,18Eos
322,5Ery
