,num_children
bengal_tiger.n.01,
tiger.n.02,3.0
carnivore.n.01,365.0
placental.n.01,1131.0
anthropoid_ape.n.01,15.0
ape.n.01,16.0
primate.n.02,105.0
appenzeller.n.01,
sennenhunde.n.01,4.0
chiacoan_peccary.n.01,
peccary.n.01,3.0
english_springer.n.01,
springer_spaniel.n.01,2.0
canine.n.02,223.0
welsh.n.03,
cattle.n.01,29.0
even-toed_ungulate.n.01,184.0
ungulate.n.01,314.0
housedog.n.01,
watchdog.n.02,8.0
edentate.n.01,21.0
opossum_rat.n.01,
marsupial.n.01,36.0
metatherian.n.01,37.0
mammal.n.01,1179.0
coach_horse.n.01,
draft_horse.n.01,7.0
mastodon.n.01,1.0
proboscidean.n.01,12.0
mandrill.n.01,
baboon.n.01,3.0
whippet.n.01,
greyhound.n.01,2.0
dog.n.01,189.0
kid.n.05,
goat.n.01,10.0
armadillo.n.01,7.0
baleen_whale.n.01,9.0
whale.n.02,31.0
cetacean.n.01,32.0
aquatic_mammal.n.01,59.0
howler_monkey.n.01,
new_world_monkey.n.01,15.0
monkey.n.01,38.0
south_american_sea_lion.n.01,
sea_lion.n.01,4.0
jack.n.12,
ass.n.03,10.0
equine.n.01,117.0
odd-toed_ungulate.n.01,126.0
yorkshire_terrier.n.01,
terrier.n.01,37.0
alaska_fur_seal.n.01,
fur_seal.n.01,1.0
pinniped_mammal.n.01,21.0
otter.n.02,2.0
musteline_mammal.n.01,41.0
guereza.n.01,
colobus.n.01,1.0
kudu.n.01,2.0
antelope.n.01,33.0
lincoln.n.03,
domestic_sheep.n.01,9.0
fur_seal.n.02,1.0
eared_seal.n.01,9.0
leopardess.n.01,
leopard.n.02,2.0
tennessee_walker.n.01,
saddle_horse.n.01,20.0
toothed_whale.n.01,18.0
taguan.n.01,
asiatic_flying_squirrel.n.01,1.0
squirrel.n.01,23.0
unguiculate.n.01,
mountain_goat.n.01,
goat_antelope.n.01,5.0
bovid.n.01,128.0
ruminant.n.01,161.0
river_otter.n.01,
workhorse.n.02,11.0
horse.n.01,98.0
feline.n.01,59.0
deer.n.01,23.0
binturong.n.01,
civet.n.01,7.0
viverrine.n.01,16.0
lesser_panda.n.01,
procyonid.n.01,8.0
pygmy_chimpanzee.n.01,
chimpanzee.n.01,4.0
wheel_horse.n.01,
tarsius_glis.n.01,
tarsier.n.01,2.0
talapoin.n.01,
guenon.n.01,4.0
thomson's_gazelle.n.01,
gazelle.n.01,3.0
seal.n.09,17.0
griffon.n.03,
sporting_dog.n.01,28.0
standard_schnauzer.n.01,
schnauzer.n.01,3.0
central_chimpanzee.n.01,
great_ape.n.01,11.0
gemsbok.n.01,
oryx.n.01,1.0
virginia_deer.n.01,
post_horse.n.01,
labrador_retriever.n.01,
retriever.n.01,5.0
hunting_dog.n.01,101.0
bunny.n.02,
rabbit.n.01,10.0
leporid.n.01,19.0
dall_sheep.n.01,
wild_sheep.n.01,8.0
pacer.n.02,
irish_wolfhound.n.01,
wolfhound.n.01,2.0
ord_kangaroo_rat.n.01,
kangaroo_rat.n.01,1.0
western_chimpanzee.n.01,
brown_swiss.n.01,
dairy_cattle.n.01,6.0
yearling.n.03,
old_world_monkey.n.01,21.0
wild_horse.n.01,3.0
western_grey_squirrel.n.01,
tree_squirrel.n.01,7.0
cynocephalus_variegatus.n.01,
flying_lemur.n.01,1.0
mexican_pocket_mouse.n.01,
pocket_mouse.n.01,4.0
rat.n.01,22.0
rodent.n.01,138.0
greater_kudu.n.01,
snake_muishond.n.01,
muishond.n.01,3.0
wolf_pup.n.01,
wolf.n.01,6.0
pika.n.01,2.0
lagomorph.n.01,24.0
maltese_dog.n.01,
toy_dog.n.01,11.0
peba.n.01,
american_foxhound.n.01,
foxhound.n.01,3.0
hog_badger.n.01,
badger.n.02,4.0
cocker_spaniel.n.01,
spaniel.n.01,11.0
australopithecus_africanus.n.01,
australopithecine.n.01,7.0
doberman.n.01,
pinscher.n.01,3.0
bezoar_goat.n.01,
wild_goat.n.01,3.0
liver_chestnut.n.01,
bullock.n.01,
bull.n.01,1.0
bluetick.n.01,
hound.n.01,29.0
european_hare.n.01,
hare.n.01,7.0
percheron.n.01,
brittany_spaniel.n.01,
big_cat.n.01,19.0
little_chief_hare.n.01,
pocket_rat.n.01,13.0
phyllostomus_hastatus.n.01,
leafnose_bat.n.01,9.0
hominoid.n.01,3.0
blenheim_spaniel.n.01,
english_toy_spaniel.n.01,1.0
eurasian_hamster.n.01,
hamster.n.01,2.0
alpaca.n.03,
llama.n.01,3.0
native_cat.n.01,
dasyure.n.01,2.0
potto.n.02,
lemur.n.01,9.0
thoroughbred.n.02,11.0
racehorse.n.01,22.0
mantled_ground_squirrel.n.01,
ground_squirrel.n.02,6.0
cryptoprocta.n.01,
bearded_seal.n.01,
earless_seal.n.01,5.0
pole_horse.n.01,
trotting_horse.n.01,1.0
moke.n.01,
domestic_ass.n.01,2.0
tenrec.n.01,1.0
insectivore.n.01,20.0
buckskin.n.01,
potoroo.n.01,
rat_kangaroo.n.01,3.0
kangaroo.n.01,13.0
giant_eland.n.01,
eland.n.01,2.0
coonhound.n.01,2.0
cotton_mouse.n.01,
wood_mouse.n.01,5.0
valley_pocket_gopher.n.01,
gopher.n.04,4.0
woodland_caribou.n.01,
caribou.n.01,2.0
red_wolf.n.01,
wire-haired_fox_terrier.n.01,
fox_terrier.n.01,2.0
black_rhinoceros.n.01,
rhinoceros.n.01,4.0
longtail_weasel.n.01,
weasel.n.02,9.0
carnivorous_bat.n.01,33.0
bat.n.01,40.0
tibetan_mastiff.n.01,
mastiff.n.01,1.0
patas.n.01,
irish_water_spaniel.n.01,
water_spaniel.n.01,2.0
japanese_spaniel.n.01,
pooch.n.01,
aegyptopithecus.n.01,
american_black_bear.n.01,1.0
bear.n.01,11.0
musk_kangaroo.n.01,
hinny.n.01,
tortoiseshell.n.03,
domestic_cat.n.01,18.0
cat.n.01,38.0
tibetan_terrier.n.01,
pointer.n.04,2.0
pekinese.n.01,
chesapeake_bay_retriever.n.01,
egyptian_cat.n.01,
giant_schnauzer.n.01,
hack.n.06,
welsh_terrier.n.01,1.0
wirehair.n.01,3.0
viscacha.n.01,
kerry_blue_terrier.n.01,
staghound.n.01,
chickeree.n.01,
cardigan.n.02,
corgi.n.01,2.0
curly-coated_retriever.n.01,
ibex.n.01,
goral.n.01,
hooded_seal.n.01,
soft-coated_wheaten_terrier.n.01,
african_hunting_dog.n.01,
wild_dog.n.01,5.0
standard_poodle.n.01,
poodle.n.01,4.0
eastern_lowland_gorilla.n.01,
gorilla.n.01,4.0
striped_skunk.n.01,
skunk.n.04,4.0
wild_boar.n.01,
swine.n.01,8.0
chevrotain.n.01,3.0
gazella_subgutturosa.n.01,
large_poodle.n.01,
tiger_cat.n.01,
wildcat.n.03,18.0
phalanger.n.01,5.0
springbok.n.01,
atlantic_bottlenose_dolphin.n.01,
bottlenose_dolphin.n.01,2.0
dolphin.n.02,12.0
clydesdale.n.01,
samoyed.n.03,
spitz.n.01,4.0
manx.n.02,
bottle-nosed_whale.n.01,
beaked_whale.n.01,1.0
stirk.n.01,
longwool.n.01,
sheep.n.01,15.0
gallant_fox.n.01,
barbary_ape.n.01,
macaque.n.01,4.0
siamang.n.01,
lesser_ape.n.01,2.0
scottish_deerhound.n.01,
burro.n.01,
atlantic_walrus.n.01,
walrus.n.01,2.0
borzoi.n.01,
morgan.n.06,
bloodhound.n.01,
pilot_whale.n.01,
american_staffordshire_terrier.n.01,
bullterrier.n.01,2.0
appaloosa.n.01,
silky_tamarin.n.01,
tamarin.n.01,2.0
secretariat.n.02,
camel.n.01,2.0
crowbait.n.01,
brown_hyena.n.01,
hyena.n.01,4.0
finback.n.01,
rorqual.n.01,3.0
bowhead.n.01,
weimaraner.n.01,
nanny.n.02,
eastern_chipmunk.n.01,
rock_squirrel.n.01,
charolais.n.01,
beef.n.01,8.0
sea_cow.n.01,3.0
pomeranian.n.01,
spotted_skunk.n.01,
blue_point_siamese.n.01,
siamese_cat.n.01,1.0
bay.n.07,
stalking-horse.n.04,
lakeland_terrier.n.01,
razorback.n.01,
mule.n.01,
bison.n.01,2.0
brown_rat.n.01,2.0
bongo.n.02,
angora.n.03,
otter_shrew.n.01,
mylodon.n.01,
smooth-haired_fox_terrier.n.01,
siberian_husky.n.01,
sled_dog.n.01,2.0
horseshoe_bat.n.01,
entellus.n.01,
langur.n.01,1.0
true_marmoset.n.01,
marmoset.n.01,5.0
carabao.n.01,
water_buffalo.n.01,2.0
agouti.n.01,
basenji.n.01,
otterhound.n.01,
tabby.n.02,
cur.n.01,2.0
war_admiral.n.01,
echidna.n.02,
monotreme.n.01,3.0
great_dane.n.01,
working_dog.n.01,45.0
red_fox.n.03,2.0
fox.n.01,11.0
mountain_beaver.n.01,
macrotus.n.01,
coati.n.01,
sassaby.n.01,
white-footed_mouse.n.01,
mouse.n.01,11.0
durham.n.02,
courser.n.03,
sausage_dog.n.01,
dachshund.n.01,1.0
american_badger.n.01,
banded_palm_civet.n.01,
gerenuk.n.01,
jackrabbit.n.01,2.0
brocket.n.02,
red_deer.n.01,3.0
bull_mastiff.n.01,
new_world_least_weasel.n.01,
forest_goat.n.01,
elephant_seal.n.01,
mudder.n.01,
gordon_setter.n.01,
setter.n.02,3.0
wisent.n.01,
numbat.n.01,
dasyurid_marsupial.n.01,7.0
yearling.n.02,
megatherian.n.01,1.0
angora.n.02,
domestic_goat.n.01,2.0
squirrel_monkey.n.01,
american_flying_squirrel.n.01,2.0
water_chevrotain.n.01,
hearing_dog.n.01,
dusky-footed_wood_rat.n.01,
wood_rat.n.01,13.0
caracal.n.01,
lynx.n.02,5.0
arabian_camel.n.01,
eastern_chimpanzee.n.01,
american_saddle_horse.n.01,
tayra.n.01,
vervet.n.01,
black_sheep.n.02,
indian_elephant.n.01,1.0
elephant.n.01,9.0
banteng.n.01,
ox.n.02,6.0
american_bison.n.01,
crab-eating_raccoon.n.01,
raccoon.n.02,2.0
blackbuck.n.01,
jungle_cat.n.01,
staffordshire_bullterrier.n.01,
grasshopper_mouse.n.01,
vole.n.01,8.0
hominid.n.01,28.0
rat_terrier.n.01,2.0
french_bulldog.n.01,
bulldog.n.01,1.0
lhasa.n.02,
keeshond.n.01,
asian_wild_ox.n.01,2.0
aardvark.n.01,
western_lowland_gorilla.n.01,
vampire_bat.n.01,2.0
chacma.n.01,
bovine.n.01,39.0
impala.n.01,
kinkajou.n.01,
loir.n.01,
dormouse.n.01,3.0
kitty.n.04,
clumber.n.01,
lechwe.n.01,
waterbuck.n.01,2.0
palm_cat.n.01,
grey_whale.n.01,
yak.n.02,
scotch_terrier.n.01,
meerkat.n.01,2.0
water_shrew.n.01,3.0
shrew.n.02,8.0
shire.n.02,
hind.n.02,
hampshire.n.02,
lippizan.n.01,
sambar.n.01,
dandie_dinmont.n.01,
jerboa_rat.n.01,1.0
omaha.n.04,
hart.n.03,
wild_ass.n.01,4.0
crab-eating_macaque.n.01,
baronduki.n.01,
redbone.n.01,
tom.n.02,1.0
steenbok.n.01,
thylacine.n.01,
bedlington_terrier.n.01,
house_mouse.n.01,
australopithecus_robustus.n.01,
guide_dog.n.01,1.0
ayrshire.n.01,
common_raccoon.n.01,
beagle.n.01,
plantigrade_mammal.n.01,
king_charles_spaniel.n.01,
toy_spaniel.n.01,4.0
raccoon_dog.n.01,
zinjanthropus.n.01,
red_squirrel.n.02,
rock_wallaby.n.01,
wallaby.n.01,6.0
walker_hound.n.01,
saint_bernard.n.01,
clydesdale_terrier.n.01,
skye_terrier.n.01,1.0
red_fox.n.02,
maltese.n.03,
ichneumon.n.01,
mongoose.n.01,2.0
rambouillet.n.01,
sussex_spaniel.n.01,
pouched_mole.n.01,
japanese_deer.n.01,
roe_deer.n.01,1.0
boston_bull.n.01,
protohippus.n.01,
markhor.n.01,
shetland_sheepdog.n.01,
shepherd_dog.n.01,13.0
vizsla.n.01,
merino.n.01,
liver-spotted_dalmatian.n.01,
dalmatian.n.02,1.0
three-toed_sloth.n.01,
sloth.n.02,3.0
roebuck.n.01,
suslik.n.01,
heifer.n.01,
cow.n.01,2.0
wether.n.01,1.0
koala.n.01,
marco_polo_sheep.n.01,
nonstarter.n.02,
