method,dim,lineage,corr_pseudotime,corr_rc_radius,local-global,local-global-num
hMDS,3,ABpxpppp,0.32051696651689143,0.5839710546198371,local,4
hMDS,3,ABpxpppa,0.5552523333223255,0.6698869821084825,local,4
hMDS,3,ABpxppap,0.6211858408360988,0.5786571423589185,local,4
hMDS,3,ABpxppaa,0.6016243155629939,0.6019086214750593,local,4
hMDS,3,ABpxpaap,-0.05205440301364577,0.4393148667873143,local,4
hMDS,3,ABpxpaaa,0.23167381717311689,0.47649935055714715,local,4
hMDS,3,ABpxp,0.7755955879411071,0.4344431665970804,global,1
hMDS,3,ABpxpp,0.8159553280169161,0.670908207722284,global,2
hMDS,3,ABpxpa,0.8973011893501589,0.6107815974412046,global,2
hMDS,3,ABpxppp,0.6640780068760845,0.5248932350622902,global,3
hMDS,3,ABpxppa,0.4657531737436042,0.4141375464248977,global,3
hMDS,3,ABpxpap,0.6906138355530629,0.7002930293903189,global,3
hMDS,3,ABpxpaa,0.5328696398699709,0.4544151497209589,global,3
PCA,3,ABpxpppp,0.3890364860060153,0.3064379822107068,local,4
PCA,3,ABpxpppa,-0.029583026064332742,0.049339993596225255,local,4
PCA,3,ABpxppap,0.5257600106398039,0.46203200403176375,local,4
PCA,3,ABpxppaa,0.5823061249068828,0.5374162876577016,local,4
PCA,3,ABpxpaap,0.5282318802296405,0.4988310291257195,local,4
PCA,3,ABpxpaaa,0.40540109625172444,0.3692309772860095,local,4
PCA,3,ABpxp,0.5571279824331502,0.23176688925654443,global,1
PCA,3,ABpxpp,0.4502701374609017,0.41815825380458327,global,2
PCA,3,ABpxpa,0.6363336103631667,0.45041930131181945,global,2
PCA,3,ABpxppp,0.0944339648559866,0.03240699548995816,global,3
PCA,3,ABpxppa,0.2807360279916207,0.24668722262120577,global,3
PCA,3,ABpxpap,0.621771397475808,0.49359603948924574,global,3
PCA,3,ABpxpaa,0.621564683399547,0.576322165464471,global,3
UMAP,3,ABpxpppp,0.4928667729089934,0.5247632375788002,local,4
UMAP,3,ABpxpppa,0.5964103217294051,0.6470362713075754,local,4
UMAP,3,ABpxppap,0.48121626822850533,0.6313470925672143,local,4
UMAP,3,ABpxppaa,0.5549994300331856,0.6246634393942327,local,4
UMAP,3,ABpxpaap,0.7516889467766377,0.6092731767080294,local,4
UMAP,3,ABpxpaaa,0.8266092599891713,0.24828692866209356,local,4
UMAP,3,ABpxp,0.656114854418038,0.4414612417008677,global,1
UMAP,3,ABpxpp,0.7073896968080117,0.563370091468675,global,2
UMAP,3,ABpxpa,0.6550498165392469,0.3310378208694528,global,2
UMAP,3,ABpxppp,0.49360023696822763,0.6164968326764446,global,3
UMAP,3,ABpxppa,0.5079840600819556,0.5072510492176787,global,3
UMAP,3,ABpxpap,0.7081250121998959,0.48162041257498106,global,3
UMAP,3,ABpxpaa,0.46945998777324727,0.4256439472897968,global,3
hMDS,4,ABpxpppp,0.39857060539684713,0.5895784389009765,local,4
hMDS,4,ABpxpppa,0.6795094593505316,0.7044932505977769,local,4
hMDS,4,ABpxppap,0.4773913887424588,0.6344412712588243,local,4
hMDS,4,ABpxppaa,0.6765975118967087,0.679340040513211,local,4
hMDS,4,ABpxpaap,0.661306227378959,0.6799942230273138,local,4
hMDS,4,ABpxpaaa,0.49215939037302836,0.652347396969304,local,4
hMDS,4,ABpxp,0.8303759125027623,0.517310477694557,global,1
hMDS,4,ABpxpp,0.850191411253156,0.7171451571428974,global,2
hMDS,4,ABpxpa,0.6859668601224034,0.6166663134192397,global,2
hMDS,4,ABpxppp,0.7309097848917503,0.5410884417922868,global,3
hMDS,4,ABpxppa,0.6802571358498284,0.5250533539079838,global,3
hMDS,4,ABpxpap,0.7414029849659058,0.7253265276406805,global,3
hMDS,4,ABpxpaa,0.34347655718018283,0.4967896781662926,global,3
PCA,4,ABpxpppp,0.37490392039919257,0.3182511051489762,local,4
PCA,4,ABpxpppa,0.260665638743603,0.23608330900850802,local,4
PCA,4,ABpxppap,0.6562388019766616,0.569540720072502,local,4
PCA,4,ABpxppaa,0.6545251554608225,0.6259590250543046,local,4
PCA,4,ABpxpaap,0.38206377033713723,0.44573646952382406,local,4
PCA,4,ABpxpaaa,0.33498518226952007,0.372124989400799,local,4
PCA,4,ABpxp,0.6071142963938205,0.2852005485335643,global,1
PCA,4,ABpxpp,0.47007505386047826,0.4104807656890554,global,2
PCA,4,ABpxpa,0.685583952392527,0.4491430116824947,global,2
PCA,4,ABpxppp,0.09154537952411426,0.05183803276808853,global,3
PCA,4,ABpxppa,0.3632356302372066,0.39585023783985646,global,3
PCA,4,ABpxpap,0.5404206789774452,0.4898479624279128,global,3
PCA,4,ABpxpaa,0.5577308993402952,0.5804537903192853,global,3
UMAP,4,ABpxpppp,0.505886051283744,0.512840504328254,local,4
UMAP,4,ABpxpppa,0.7332012429732802,0.7097815883287664,local,4
UMAP,4,ABpxppap,0.7067465038502487,0.6335085675594999,local,4
UMAP,4,ABpxppaa,0.5684446470048066,0.636666939860393,local,4
UMAP,4,ABpxpaap,0.06314300992749158,0.7292352379575647,local,4
UMAP,4,ABpxpaaa,0.8427912299879013,0.6668235250986715,local,4
