method,dim,lineage,corr_gen,corr_ap,local-global,local-global-num
hMDS,3,ABpxpppp,-0.63952537132563,-0.283235049200145,local,4
hMDS,3,ABpxpppa,-0.4599311637738616,-0.7156637800419982,local,4
hMDS,3,ABpxppap,-0.6711950297315148,-0.6538713006700783,local,4
hMDS,3,ABpxppaa,-0.6358480588887937,-0.8739384873142878,local,4
hMDS,3,ABpxpaap,-0.635170533835715,-0.8137876482031077,local,4
hMDS,3,ABpxpaaa,-0.8149646667919903,-0.7138839424563264,local,4
hMDS,3,ABpxp,-0.76510169538463,-0.6767772883844372,global,1
hMDS,3,ABpxpp,-0.5634971227001242,-0.19954331185395904,global,2
hMDS,3,ABpxpa,-0.6702501474797453,-0.20330037391325237,global,2
hMDS,3,ABpxppp,-0.6187235347253739,-0.48840474311396426,global,3
hMDS,3,ABpxppa,-0.4054901414448937,-0.6373825414927343,global,3
hMDS,3,ABpxpap,-0.5511422007380883,-0.731450370882937,global,3
hMDS,3,ABpxpaa,-0.6298855928469712,-0.3800891653705501,global,3
hMDS,3,ABpxpppp,-0.6662885685085503,-0.2550045671540115,local,4
hMDS,3,ABpxpppa,-0.5352106954578333,-0.6947606254573636,local,4
hMDS,3,ABpxppap,-0.7481631246468089,-0.695435503073083,local,4
hMDS,3,ABpxppaa,-0.6190223662564158,-0.8886505757279854,local,4
hMDS,3,ABpxpaap,-0.6481844824767088,-0.8247423727825427,local,4
hMDS,3,ABpxpaaa,-0.7526009283513764,-0.6975197912452658,local,4
hMDS,3,ABpxp,-0.6025938258232943,-0.6332611459478154,global,1
hMDS,3,ABpxpp,-0.552640802531913,-0.20565491338677636,global,2
hMDS,3,ABpxpa,-0.642417892811912,-0.18224773840778805,global,2
hMDS,3,ABpxppp,-0.6252890699359175,-0.454752390673297,global,3
hMDS,3,ABpxppa,-0.42094997254294403,-0.6655530872614851,global,3
hMDS,3,ABpxpap,-0.6722439870487741,-0.7178320820146533,global,3
hMDS,3,ABpxpaa,-0.6198021306081566,-0.36710297263740177,global,3
hMDS,3,ABpxpppp,-0.6013542856177879,-0.17034625068363488,local,4
hMDS,3,ABpxpppa,-0.5628597309234342,-0.6902991784369066,local,4
hMDS,3,ABpxppap,-0.7099765566517326,-0.6894902830958719,local,4
hMDS,3,ABpxppaa,-0.6077731488542529,-0.8426913698579924,local,4
hMDS,3,ABpxpaap,-0.6462809146754142,-0.8267732324485915,local,4
hMDS,3,ABpxpaaa,-0.7638488013765934,-0.7052378468576743,local,4
hMDS,3,ABpxp,-0.6078946406517792,-0.4404687817023192,global,1
hMDS,3,ABpxpp,-0.5930461302685404,-0.23115089870794434,global,2
hMDS,3,ABpxpa,-0.5689476174127905,-0.09127515470037527,global,2
hMDS,3,ABpxppp,-0.5980812266683875,-0.47887410975427164,global,3
hMDS,3,ABpxppa,-0.4333348386333565,-0.6406528418372252,global,3
hMDS,3,ABpxpap,-0.6330708881079851,-0.7216187009728319,global,3
hMDS,3,ABpxpaa,-0.6195962142412624,-0.4863968152538833,global,3
hMDS,3,ABpxpppp,-0.6765957554349357,-0.261137295558812,local,4
hMDS,3,ABpxpppa,-0.5582397775048402,-0.7072096437350524,local,4
hMDS,3,ABpxppap,-0.6867405036668277,-0.6794806572022258,local,4
hMDS,3,ABpxppaa,-0.5807386991648754,-0.8667444690003479,local,4
hMDS,3,ABpxpaap,-0.6268197033628109,-0.8191900277796421,local,4
hMDS,3,ABpxpaaa,-0.7817058027847316,-0.6776046441295519,local,4
hMDS,3,ABpxp,-0.5709963647696693,-0.48705808723964894,global,1
hMDS,3,ABpxpp,-0.5655962243751458,-0.19798440965347705,global,2
hMDS,3,ABpxpa,-0.6707430221596022,-0.11146981307698978,global,2
hMDS,3,ABpxppp,-0.6568287261637873,-0.46310158490191755,global,3
hMDS,3,ABpxppa,-0.40501798482643936,-0.6607448693527443,global,3
hMDS,3,ABpxpap,-0.6873461049484179,-0.7309402463150692,global,3
hMDS,3,ABpxpaa,-0.6030583394710857,-0.42890484775605,global,3
hMDS,3,ABpxpppp,-0.6686966379769231,-0.2574160599182559,local,4
hMDS,3,ABpxpppa,-0.5626517253120293,-0.6999538742373028,local,4
hMDS,3,ABpxppap,-0.7125147755849892,-0.6854907685719405,local,4
hMDS,3,ABpxppaa,-0.5846640760135351,-0.8661616394459682,local,4
hMDS,3,ABpxpaap,-0.6514558784656701,-0.8233771929938063,local,4
hMDS,3,ABpxpaaa,-0.7853299852023994,-0.6923897884545722,local,4
hMDS,3,ABpxp,-0.5483199288990191,-0.5326243319623746,global,1
hMDS,3,ABpxpp,-0.453165444471562,-0.2955728991349738,global,2
hMDS,3,ABpxpa,-0.6250943127013094,-0.19378560595243227,global,2
hMDS,3,ABpxppp,-0.6334764136338149,-0.43688048931199575,global,3
hMDS,3,ABpxppa,-0.4046151945309574,-0.6446499610088243,global,3
