,method,dim,Qlocal,Qglobal
0,hyperbolic,3,0.32974488804815366,0.7340930819683416
1,pca,3,0.3199680529967314,0.753555436850879
2,umap,3,0.5531388453431417,0.7031549176393056
3,hyperbolic,4,0.4707903689124697,0.7844631918067996
4,pca,4,0.3759011692677096,0.764480093225922
5,umap,4,0.5610738907417848,0.7028088101045366
6,hyperbolic,5,0.5929404258869736,0.8179958930814416
7,pca,5,0.4051364765461042,0.7761434087698051
8,umap,5,0.5592718956571098,0.7038779237589488
9,hyperbolic,6,0.6396301310130997,0.8300385467672332
10,pca,6,0.4575141809679289,0.7948942941638331
11,umap,6,0.5605529057433867,0.704862783189706
12,hyperbolic,7,0.6664084538746735,0.8374210415510255
13,pca,7,0.487353543285932,0.802424913260385
14,umap,7,0.5614112998401963,0.7122373320445327
15,hyperbolic,8,0.6978622777513078,0.847012546901747
16,pca,8,0.521899174499492,0.8104400275284966
17,umap,8,0.565559831817549,0.714917348910165
18,hyperbolic,9,0.7148757311054513,0.8531108247573025
19,pca,9,0.5406014548346866,0.8193729438484482
20,umap,9,0.5640219518201591,0.7128010746620932
21,hyperbolic,10,0.7342113670069175,0.8585697106425193
22,pca,10,0.5585942570784793,0.8291454136929205
23,umap,10,0.5596696987814381,0.7125608427621695
