,method,dim,Qlocal,Qglobal
0,hyperbolic,2,0.3843627861250304,0.8374881556131222
1,pca,2,0.48213715751786473,0.8110490793643839
2,umap,2,0.4583312785251639,0.7720570457903215
3,hyperbolic,3,0.5023760889892174,0.884736254209813
4,pca,3,0.5091494156717135,0.8219512662023932
5,umap,3,0.4627188544172447,0.7712788102122361
6,hyperbolic,4,0.5209846440036431,0.8873385388836382
7,pca,4,0.5047818116196535,0.8184080698709048
8,umap,4,0.4703390265175468,0.7726121591202413
9,hyperbolic,5,0.5629278955838422,0.906511598117627
10,pca,5,0.5154663471060611,0.8221721749989972
11,umap,5,0.46678603757579235,0.7706933434343908
12,hyperbolic,6,0.573553875990574,0.9076461104184954
13,pca,6,0.5146027120490236,0.8230336967426021
14,umap,6,0.4668981174546942,0.7705958688210948
15,hyperbolic,7,0.5897475193739763,0.911459212186596
16,pca,7,0.5226588137670669,0.8277837498916587
17,umap,7,0.467679720511305,0.7709143978292766
18,hyperbolic,8,0.6051137205362467,0.9163950002950981
19,pca,8,0.529936445024826,0.835224832371482
20,umap,8,0.47260815911165044,0.772441715874677
21,hyperbolic,9,0.603961709255114,0.9149630814749142
22,pca,9,0.5366658721122606,0.8382424950696037
23,umap,9,0.47295444341366716,0.7718513160194442
24,hyperbolic,10,0.6140494225136738,0.918053685131372
25,pca,10,0.5398593355801001,0.8410660752052902
26,umap,10,0.46700225380836596,0.7697220672788092
